№;Заголовок;Цена;Производитель;Модель;Процессор;Видеокарта;ОВУ;ОЗУ;Диаг.;Диск;ПЗУ;Код конфигурации;Состояние;Описание;Контактное лицо;Тип продавца;Адрес;Ссылка на объявление
874;Ноутбук на запчасти;1500;Acer;Aspire 9810;Intel Core 2 Duo T5500 1.66 ГГц;NVIDIA GeForce Go 7600;;;;HDD;;;Б/у;2 клавиатуры 500.оперативная память на 1гб 200. 3 ветилятора охлаждения 100.перендняя панель 1000.блок питания 400.если всё вместе за 1800;Пользователь;Частное лицо;Омская обл. Омск 24-я Северная ул.;https://www.avito.ru/omsk/noutbuki/noutbuk_na_zapchasti_3422481036
875;Ноутбук acer 4520;4300;Acer;Aspire 4520;AMD Athlon 64 X2 TK-55 1.8 ГГц;NVIDIA GeForce 7000M;;;;HDD;;;Б/у;Ноутбук в отличном состоянии. Все работает . Описание на последнем фото. Зарядное устройство в комплекте( работает от сети ) Торг минимальный;Пользователь;Частное лицо;Нет;https://www.avito.ru/omsk/noutbuki/noutbuk_acer_4520_2249021713
876;Asus;4000;ASUS;A42F;Intel Core i3-350M 2.26 ГГц;Intel GMA HD;;;;HDD;;;Б/у;продам два ноутбука Asus и procoball оба на i5 процессоре под восстановление прокл в рабочем состоянии внимание требует корпус;Пользователь;Частное лицо;Нет;https://www.avito.ru/omsk/noutbuki/asus_4198999630
877;Acer aspire es 15;15000;Acer;Aspire ES1-531;Intel Celeron N3050 1.6 ГГц;Intel HD Graphics;;;;HDD+SSD;;;Б/у;Ноутбук в идеальном состоянии без царапинсколов и дефектов.Батарею держит отличноне тупит не глючит. Пользовались очень мало и очень бережно. В комплекте сумказарядка и беспроводная мышка.;Пользователь;Частное лицо;Нет;https://www.avito.ru/omsk/noutbuki/acer_aspire_es_15_4529570008
878;Ноутбуки бу на запчасти;999;ASUS;1015E;Intel Celeron 847 11 ГГц;Intel GMA HD;;;;HDD;;;Б/у;ноутбуки на запчасти.;Пользователь;Частное лицо;Нет;https://www.avito.ru/omsk/noutbuki/noutbuki_bu_na_zapchasti_4326002808
879;Ноутбук lenovo thinkpad;6000;Lenovo;THINKPAD Edge E440;Intel Pentium 3550M 2.3 ГГц;Intel HD Graphics;;;;HDD;;20C5005LRT;Б/у;полностью рабочий слоты и дисковод работаю батарейку держит пару часов смело остальная информация на фото. состояние хорошее имеются не значительные потёртости. комплект сумка зарядка мышка. тачпад рабочий. без торга;Пользователь;Частное лицо;Нет;https://www.avito.ru/omsk/noutbuki/noutbuk_lenovo_thinkpad_4125952220
880;HP 530 запчасти;1000;HP;530;Intel Core 2 Duo T5200 1.6 ГГц;Intel GMA 950;;;;HDD;;;Б/у;На запчасти сгорел южный мост. Продано заглушка на привод кулер и клавиатура. Цена за все. Если нужно что отдельно пишите.;Пользователь;Частное лицо;Нет;https://www.avito.ru/omsk/noutbuki/hp_530_zapchasti_2485245310
881;Ноутбук dell;90000;DELL;G7 7700;Intel Core i7-10750H 2.6 ГГц;NVIDIA GeForce RTX 2070 Super;;;;SSD;;;Б/у;В идеальном состоянии полностью обслужен. Видеокарта RTX 1660 Ti. Комп в играх просто пушка! Кто возьмёт не пожалеет. Он стоит своих денег.;Пользователь;Частное лицо;Нет;https://www.avito.ru/omsk/noutbuki/noutbuk_dell_3927994336
882;Acer;12500;Acer;Aspire ES1-532G;Intel Pentium N3710 1.6 ГГц;NVIDIA GeForce 920MX;;;;HDD;;;Б/у;Ноутбук Acer. Из проблем: - не работает без зарядки т.к аккумулятор нужно поменять. - нужно его оптимизировать дабы ускорить его работу.;Пользователь;Частное лицо;Омская обл. Омск Транссибирская ул.;https://www.avito.ru/omsk/noutbuki/acer_3702791736
883;Netbook Samsung;1600;Samsung;NP-N130;Intel Atom N270 1.6 ГГц;Intel GMA 950;;;;HDD;;;Б/у;2009 год.в нерабочем состоянии. Батарея разряжена не заряжается.;Пользователь;Частное лицо;Нет;https://www.avito.ru/omsk/noutbuki/netbook_samsung_3629518946
